x1 x2 x3 x4 x5 y1 y2 y3
1 1 2 6 12 16 49 48 8
2 5 14 14 30 27 47 76 13
3 0 10 21 16 16 11 40 13
4 0 2 5 17 8 9 52 9
5 2 7 11 26 17 69 63 15
6 2 15 21 34 25 35 82 14
7 0 1 20 23 18 6 71 21
8 0 0 10 19 14 8 68 8
9 0 0 7 16 13 49 74 11
10 3 2 21 26 25 8 70 15
11 8 16 15 35 24 47 70 15
12 5 4 7 15 14 6 61 11
13 1 12 13 27 21 14 54 12
14 2 1 12 20 17 30 55 13
15 3 12 20 26 22 4 54 10
16 0 2 5 14 8 24 40 14
17 7 12 21 35 27 19 66 13
18 0 6 6 14 16 45 54 10
19 12 8 19 27 26 22 64 14
20 3 9 15 18 10 16 47 16
21 0 7 9 14 18 32 48 16
22 4 6 20 26 26 37 52 14
23 4 9 14 23 23 47 74 19
24 0 2 4 11 8 5 57 12
25 0 1 16 15 17 6 57 10
26 3 8 18 28 21 60 80 11
27 1 18 19 34 23 58 78 13
28 2 11 9 23 11 6 70 16
29 0 10 7 12 8 16 47 14
30 8 10 28 32 32 45 94 19
31 2 12 5 25 14 9 63 11
32 7 11 18 29 21 69 76 16
33 2 5 10 23 24 35 59 11
34 0 1 14 19 12 19 55 8
35 1 0 10 18 18 58 74 14
36 6 4 23 31 26 58 71 17
37 0 6 6 15 14 79 54 14
